Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value
Newton,Kariui,,Njeri,,,,,,,,,,,2000-10-05,Female,Kihoto,,,,,,,,,Farmers::Kayole::Shopkeeper::Motobike,Mobile,+254 756789456
Newton,Kariui,,Njeri,,,,,,,,,,,2000-10-05,Female,Kihoto,,,,,,,,,Farmers::Motobike,Mobile,+254 756789456
Harun,Mwarari,,Mwarari,,,,,,,,,,,1990-10-05,Male,Kihoto,,,,,,,,,Farmers::Shopkeeper::Kayole::Driving,Mobile,+254 740368934
John,Mainga,,Ogamba,,,,,,,,,,,1975-10-05,Male,Kihoto,,,,,,,,,Shopkeeper::Driving::College::Motobike,Mobile,+254 704368934
Margaret,Njeri,,Mwarari,,,,,,,,,,,1975-10-05,Female,Kayole,,,,,,,,,Women,Mobile,+254 704368934
Margaret,Njeri,,Mwarari,,,,,,,,,,,1973-10-05,Female,Kayole,,,,,,,,,,Mobile,+254 726382692
David,Njeri,,Mwarari,,,,,,,,,,,1992-10-05,Male,Kayole,,,,,,,,,Motobike,Mobile,+254 726382692
James,Njeri,,Mwarari,,,,,,,,,,,1995-10-05,Male,Kihoto,,,,,,,,,College::Motobike,Mobile,+254 723456789
Kuja,Hapa,,Macharia,,,,,,,,,,,1978-01-14,Male,Kihoto,,,,,,,,,College::Motobike,Mobile,+254 704893840
Newton,Kariui,,Njeri,,,,,,,,,,,2000-10-05,Female,Kihoto,,,,,,,,,,Mobile,+254 756789456
Joseph,Mwas,,Mwangi,,,,,,,,,,,1992-01-15,Male,Kihoto,,,,,,,,,,Mobile,+254 744893840
